reference_number,short_citation,specific_claim_supported,source_type,audit_result
1,"Vosoughi, Roy, and Aral (2018)","Empirical evidence that false news cascades on Twitter diffused farther, faster, deeper, and more broadly than true news.",Empirical platform study,Claim matched to source scope; wording narrowed where necessary
2,Del Vicario et al. (2016),Polarized communities and selective exposure shaped misinformation diffusion on Facebook.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
3,Shao et al. (2018),Social bots disproportionately amplified low-credibility content.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
4,Grinberg et al. (2019),Fake-news exposure and sharing during the 2016 U.S. election were concentrated among a minority of users.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
5,"Guess, Nagler, and Tucker (2019)",Fake-news dissemination on Facebook was uncommon overall and concentrated among specific users.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
6,Allen et al. (2020),Untrustworthy news represented a limited but measurable share of the broader information ecosystem.,Empirical media-consumption study,Claim matched to source scope; wording narrowed where necessary
7,Cinelli et al. (2021),Echo-chamber dynamics and homophilic clustering appear across multiple social platforms.,Cross-platform empirical study,Claim matched to source scope; wording narrowed where necessary
8,Bessi et al. (2015),Science and conspiracy narratives formed distinct polarized communities.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
9,Zollo et al. (2017),Debunking interaction was conditioned by polarization and community structure.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
10,Shao et al. (2018),Misinformation diffusion networks contain identifiable structural and temporal patterns.,Empirical platform study,Claim matched to source scope; wording narrowed where necessary
11,Guess et al. (2020),Exposure to untrustworthy websites in the 2016 election was concentrated rather than uniform.,Empirical web-browsing study,Claim matched to source scope; wording narrowed where necessary
12,Pennycook et al. (2020),Accuracy reminders can improve sharing discernment for COVID-19 misinformation.,Randomized behavioral experiment,Claim matched to source scope; wording narrowed where necessary
13,Pennycook et al. (2021),Shifting attention to accuracy can reduce willingness to share misinformation.,Randomized behavioral experiment,Claim matched to source scope; wording narrowed where necessary
